RideID,tpep_pickup_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount,DelayFactor
58,1/2/16 4:30,16.01,-73.87171173,40.77431107,-74.01578522,40.71183014,55.34,7
59,1/29/16 11:32,11.4,-73.8730011,40.77414703,-73.9825058,40.7543602,46.34,2
60,1/29/16 11:33,9.14,-73.87505341,40.77381134,-73.98876953,40.75791931,38.84,1
61,1/29/16 11:33,7.83,-73.87469482,40.77405167,-73.95222473,40.78656387,33.34,2
62,1/2/16 4:43,8.04,-73.87442017,40.77396011,-73.97998047,40.73749924,30.96,9
63,1/2/16 5:00,2.8,-73.87294006,40.77398682,-73.89273071,40.75095367,12.3,9
64,1/2/16 5:01,3.64,-73.87133026,40.77383804,-73.92549896,40.7589035,13.3,2
65,1/2/16 5:04,2.1,-73.87290955,40.77437592,-73.86564636,40.77090073,10.8,0
66,1/2/16 5:08,11.8,-73.87332153,40.77391434,-74.01014709,40.71174622,33.3,0
67,1/2/16 5:12,10.4,-73.87328339,40.77437973,-73.93344879,40.85680771,40.84,7
68,1/2/16 5:47,1.5,-73.87083435,40.77378082,-73.88115692,40.75986481,8.3,0
69,1/2/16 5:51,3.5,-73.87306976,40.77443314,-73.92227173,40.76370621,14.3,0
70,1/2/16 5:54,5.2,-73.87301636,40.77407074,-73.94626617,40.76602554,21.35,0
71,1/2/16 5:56,7.3,-73.87294769,40.77423096,-73.95543671,40.76871109,28.5,0
72,1/2/16 6:01,0.1,-73.87132263,40.77433777,-73.87324524,40.77438354,4.3,0
73,1/2/16 6:08,4.58,-73.87303162,40.77386856,-73.8328476,40.7597084,21.36,4
74,1/2/16 6:08,4.6,-73.87303925,40.77400208,-73.83278656,40.75959015,22.8,0
75,1/2/16 6:20,12.3,-73.8710556,40.77358627,-73.77690887,40.64469528,34.3,7
76,1/2/16 6:21,15.3,-73.8710556,40.77361679,-73.84874725,40.90555573,54.27,6
77,1/29/16 11:33,14.1,-73.87294006,40.77393341,-73.95716095,40.6652565,43.8,3
78,1/2/16 6:40,11.9,-73.87288666,40.77389145,-73.78330994,40.64385986,36.3,0
79,1/2/16 6:49,7,-73.87290955,40.77404404,-73.9405899,40.81149673,27.34,0
80,1/2/16 7:05,7.68,-73.87329865,40.77186203,-73.94914246,40.7826767,58.34,6
81,1/2/16 7:09,20.6,-73.8710022,40.77346802,-73.87036133,40.77302933,59.8,6
82,1/2/16 7:12,7.5,-73.87117767,40.77376556,-73.94461823,40.77951431,33.39,4
83,1/2/16 7:23,17.84,-73.87106323,40.77362061,-73.94471741,40.63243103,52.8,1
84,1/2/16 7:30,9.92,-73.87097931,40.77360153,-73.96367645,40.67657852,30.3,9
85,1/2/16 7:33,10.1,-73.87308502,40.774086,-73.93160248,40.66699982,31.3,6
86,1/2/16 7:38,10.2,-73.87519836,40.77388763,-73.99073029,40.73062134,30.3,3
87,1/29/16 11:34,11.9,-73.8730545,40.77415085,-73.98580933,40.75879288,45.34,8
88,1/29/16 11:34,12.46,-73.87284851,40.77410126,-74.00827789,40.70756912,43.34,0
89,1/29/16 11:34,10.3,-73.87294006,40.77408218,-73.97438812,40.75645828,38.34,0
90,1/29/16 11:34,9.4,-73.87284088,40.77417374,-73.98547363,40.72373581,35.75,0
91,1/29/16 11:34,8.6,-73.87456512,40.77408218,-73.96948242,40.75749588,39.99,6
92,1/29/16 11:34,10.5,-73.87284851,40.77407455,-73.97898865,40.76220322,44.84,0
93,1/1/16 0:02,6.5,-73.87460327,40.77410126,-73.94418335,40.7166481,26,6
94,1/1/16 0:03,4.6,-73.87297058,40.77405167,-73.84675598,40.72748184,17.3,8
95,1/1/16 0:04,8.75,-73.87451172,40.77409363,-73.99106598,40.75042343,40.01,5
96,1/1/16 0:04,2.95,-73.87094879,40.77376938,-73.91747284,40.76771927,11.8,7
97,1/1/16 0:05,7.2,-73.87319183,40.77406693,-73.9755249,40.74448776,30.95,2
98,1/1/16 0:06,10.21,-73.87463379,40.77394104,-73.97927094,40.78020859,41.99,5
99,1/1/16 0:06,4.41,-73.87478638,40.77389908,-73.82628632,40.77407837,15.8,0
100,1/1/16 0:07,7.95,-73.87297821,40.77399826,-73.95346832,40.82540894,34.89,5
101,1/1/16 0:07,9.83,-73.87312317,40.77423096,-74.00491333,40.74446106,36.84,0
102,1/1/16 0:08,9.1,-73.87303925,40.77410507,-73.98899841,40.7348175,40.84,0
103,1/1/16 0:10,6.78,-73.87473297,40.77397156,-73.94126129,40.71192169,26.76,9
104,1/1/16 0:10,16.49,-73.87458801,40.77412033,-73.9692688,40.61940384,57.25,0
105,1/1/16 0:10,11.13,-73.87293243,40.77412033,-73.94438171,40.66270828,41.3,0
106,1/1/16 0:10,5.6,-73.87444305,40.77404785,-73.87580872,40.72694397,18.3,0
107,1/29/16 11:35,14.5,-73.8729248,40.77396774,-74.01044464,40.70198822,51.34,0
108,1/29/16 11:35,11.91,-73.87452698,40.77405167,-74.00920105,40.71537018,45.36,5
109,1/29/16 11:35,10.94,-73.87091827,40.77368164,-73.98557281,40.76002121,53.21,4
110,1/1/16 0:10,12,-73.87306213,40.77412415,-73.97648621,40.75143051,47.15,2
111,1/1/16 0:11,9.43,-73.87308502,40.77407074,-73.93009186,40.85351181,43.99,0
112,1/1/16 0:11,4.28,-73.87281799,40.77411652,-73.9122467,40.74547577,18.96,5
113,1/1/16 0:11,6.4,-73.87335205,40.77405167,-73.80288696,40.77125931,20.8,3
114,1/1/16 0:12,12.1,-73.87457275,40.77412796,-73.99440765,40.76091766,50.8,0
115,1/1/16 0:12,10.54,-73.87270355,40.77406311,-73.845047,40.83965302,37.34,0
116,1/1/16 0:12,12.34,-73.87492371,40.77394485,-73.9616394,40.66188049,45.96,0
117,1/1/16 0:12,9.55,-73.87296295,40.7740593,-73.99930573,40.73934174,44.21,0
118,1/1/16 0:13,8.9,-73.87452698,40.77407074,-73.95483398,40.7671814,32.34,0
119,1/1/16 0:14,11.71,-73.87301636,40.77412415,-73.97735596,40.78427505,46.84,6
120,1/1/16 0:14,7.8,-73.8745575,40.77407074,-73.94683838,40.77407837,29.84,0
121,1/1/16 0:14,2.6,-73.87319946,40.77406693,-73.87485504,40.75672531,14.15,0
122,1/1/16 0:15,6.6,-73.87439728,40.77408218,-73.84303284,40.71263885,20.3,6
123,1/1/16 0:15,1,-73.87458038,40.77405167,-73.86759949,40.76784897,6.8,8
124,1/1/16 0:16,10.37,-73.87445831,40.77405167,-73.99168396,40.74923325,33.8,4
125,1/1/16 0:16,6.7,-73.87265778,40.77410126,-73.9461441,40.71579361,23.8,6
126,1/1/16 0:17,3.5,-73.87330627,40.77403641,-73.88311768,40.75338745,14.3,0
127,1/1/16 0:18,8.97,-73.87342834,40.77402878,-73.95632172,40.77053833,40.42,9
128,1/1/16 0:18,11.18,-73.87306213,40.77415848,-73.89488983,40.86368942,39.34,0
129,1/1/16 0:19,3.1,-73.87448883,40.77413559,-73.89807129,40.74372482,12.8,7
130,1/1/16 0:20,8.6,-73.87310791,40.77404785,-73.96938324,40.7567749,31.34,8
131,1/1/16 0:21,15,-73.87315369,40.77399445,-73.94950104,40.66447067,47.3,0
132,1/1/16 0:21,17.3,-73.87447357,40.77382278,-74.01348877,40.79076385,90.3,5
133,1/1/16 0:21,9,-73.87303925,40.7740593,-73.96456909,40.68720245,34.1,4
134,1/1/16 0:21,4.16,-73.87319183,40.77412415,-73.86029053,40.73601532,14.3,7
135,1/1/16 0:22,10.5,-73.8746109,40.77406693,-73.77388763,40.67818451,31.8,9
136,1/29/16 11:35,9.58,-73.87284088,40.77381897,-73.99803162,40.72246552,39.96,0
137,1/29/16 11:35,11.66,-73.8745575,40.77408981,-73.98465729,40.76844025,46.34,0
138,1/29/16 11:35,9.87,-73.8753891,40.77368164,-73.9697876,40.75727081,43.61,0
139,1/29/16 11:35,8.96,-73.87547302,40.77362061,-73.98392487,40.75722504,43.61,0
140,1/29/16 11:36,8.8,-73.87284851,40.77399445,-73.99128723,40.74956131,40.34,2
141,1/29/16 11:36,12.49,-73.87535095,40.7736969,-73.99365234,40.75697327,61.01,5
142,1/29/16 11:37,10.04,-73.87312317,40.77416992,-73.97312927,40.75619888,37.34,0
143,1/29/16 11:37,10.95,-73.8731308,40.77412033,-73.98490906,40.76179123,42.84,0
144,1/29/16 11:37,10.34,-73.87294769,40.77404022,-73.97783661,40.75857925,47.21,0
145,1/29/16 11:37,10,-73.87454224,40.7741127,-73.99165344,40.72954941,38.75,0
146,1/29/16 11:37,9.79,-73.8728714,40.77404022,-73.98841858,40.76168823,51.41,0
147,1/29/16 11:38,9.47,-73.87313843,40.77428055,-73.97814178,40.71762848,34.3,2
148,1/29/16 11:38,10.32,-73.87510681,40.77393723,-73.97263336,40.75566101,46.01,5
149,1/29/16 11:38,8.7,-73.87438965,40.77378464,-73.96276855,40.77484894,41.04,0
150,1/29/16 11:38,12.1,-73.87297058,40.77412796,-73.97238922,40.75613785,50.19,0
151,1/29/16 11:39,11.4,-73.87449646,40.77408218,-73.98693848,40.67313766,43.55,0
152,1/29/16 11:39,9.84,-73.87319183,40.7741394,-73.98903656,40.69363022,36.96,1
153,1/29/16 11:39,10.47,-73.87306213,40.77415085,-73.97904968,40.76202011,56.05,4
154,1/29/16 11:39,11.22,-73.87297821,40.77416992,-73.98353577,40.73842239,52.92,9
155,1/29/16 11:40,10.19,-73.87294769,40.77408981,-73.97563934,40.76055908,47.34,0
156,1/29/16 11:40,9.04,-73.87454987,40.77411652,-73.9535675,40.71157837,36.96,0
157,1/29/16 11:40,10.62,-73.87483215,40.77394867,-73.98203278,40.76259995,54.84,2
158,1/29/16 11:40,11.8,-73.87281036,40.77412796,-73.89982605,40.87302017,53.89,0
159,1/29/16 11:57,3.66,-73.87448883,40.77410889,-73.83265686,40.76100922,14.3,4
160,1/29/16 11:57,12.6,-73.87384796,40.77134705,-73.72241974,40.78634644,72.96,7
161,1/29/16 11:58,8.78,-73.87306213,40.77410889,-73.97167969,40.75727081,40.84,1
162,1/29/16 11:58,8.99,-73.87320709,40.77408981,-73.98606873,40.75818634,49.61,0
163,1/29/16 11:58,11.5,-73.87444305,40.7739563,-73.98683929,40.76095581,57.99,0
164,1/29/16 11:58,3.2,-73.87458038,40.774086,-73.88987732,40.74591446,15.3,8
165,1/29/16 11:59,12.1,-73.87309265,40.77406311,-73.97920227,40.76184082,56.19,5
166,1/29/16 11:59,8,-73.87295532,40.77401352,-73.97667694,40.75133514,31.84,0
167,1/29/16 11:59,10.56,-73.8714447,40.77407837,-73.94715118,40.67819214,43.56,0
168,1/29/16 11:59,7.53,-73.87462616,40.77406311,-73.94841766,40.7893219,28.84,3
169,1/29/16 11:59,9.12,-73.87451935,40.77408981,-73.95966339,40.68524933,47.88,2
170,1/29/16 11:59,10.7,-73.87274933,40.77419662,-73.97638702,40.6652565,43.9,1
171,1/29/16 11:59,13,-73.87315369,40.7740593,-73.99123383,40.66073227,41.8,3
172,1/29/16 11:59,12.24,-73.87465668,40.774086,-74.0092392,40.70716858,50.76,8
173,1/29/16 12:00,10.4,-73.87301636,40.77415466,-73.98158264,40.76236343,43.84,0
174,1/29/16 12:00,9.47,-73.87303925,40.77410126,-73.96524048,40.77008057,45.41,6
175,1/29/16 12:00,10.5,-73.8744812,40.77394104,-73.93618011,40.854496,40.34,0
176,1/29/16 12:00,8.92,-73.87439728,40.77396011,-73.9561615,40.76556015,42.3,1
177,1/29/16 12:01,9.7,-73.87534332,40.77380371,-74.00085449,40.72294617,41.15,0
178,1/29/16 12:01,9.5,-73.87320709,40.77407074,-73.98978424,40.7343483,44.19,0
179,1/29/16 12:01,8.61,-73.87299347,40.77405167,-73.98795319,40.74386597,41.21,7
180,1/29/16 12:01,8.6,-73.87284851,40.77393723,-73.97567749,40.75554657,36.34,0
181,1/29/16 12:01,6.79,-73.87319946,40.77412033,-73.9422226,40.72354889,21.3,0
182,1/29/16 12:01,9.68,-73.8709259,40.77384186,-73.99746704,40.72133255,33.3,0
183,1/29/16 12:01,11.73,-73.87286377,40.7738533,-73.98405457,40.66819382,40.3,2
184,1/29/16 12:03,12.4,-73.87300873,40.77396011,-73.98152924,40.75452042,51.84,0
185,1/29/16 12:03,8.62,-73.87148285,40.77407074,-73.96903992,40.7498436,30.84,0
186,1/29/16 12:03,10.2,-73.87289429,40.77406693,-73.97529602,40.76513672,39.34,9
187,1/29/16 12:03,13.43,-73.87310791,40.77410889,-74.01603699,40.71538925,44.3,0
188,1/29/16 12:03,10.95,-73.87454987,40.77411652,-73.97962952,40.76549911,42.34,0
189,1/1/16 0:33,12.1,-73.87323761,40.7740097,-73.90016937,40.82969666,44.34,0
190,1/1/16 0:33,18.41,-73.87477112,40.77412033,-73.82077026,40.58647156,54.38,7
191,1/1/16 0:44,1.24,-73.87319183,40.77399063,-73.86662292,40.7678299,10,0
192,1/29/16 12:03,6.41,-73.8731842,40.7741127,-73.81895447,40.72216797,24.75,5
193,1/29/16 12:03,13.72,-73.87470245,40.77399063,-74.0171814,40.7091713,44.8,1
194,1/29/16 12:04,11.9,-73.8744278,40.77393723,-73.98886108,40.73672104,43.34,0
195,1/29/16 12:04,9.18,-73.8744812,40.77407074,-73.97028351,40.7842598,40.34,9
196,1/29/16 12:04,8.97,-73.87333679,40.77406693,-73.99311066,40.75614166,47.89,0
197,1/29/16 12:05,10.7,-73.8729248,40.77404022,-73.98207092,40.75497437,40.84,6
198,1/29/16 12:05,8.5,-73.87306976,40.77405548,-73.97226715,40.75333405,37.59,2
199,1/29/16 12:05,10.18,-73.87300873,40.77414703,-73.99551392,40.72697067,44.76,0
200,1/29/16 12:06,9,-73.87303925,40.77409744,-73.98815155,40.75767136,42.99,7
201,1/29/16 12:06,10.5,-73.8727417,40.77391815,-73.97177887,40.75525284,44.84,0
202,1/29/16 12:06,10.1,-73.87447357,40.77404785,-73.97910309,40.78155136,49.79,0
203,1/29/16 12:06,8,-73.87271881,40.77402496,-73.95572662,40.7849884,30.34,6
204,1/29/16 12:06,10.1,-73.87271881,40.77373123,-73.97167206,40.75712967,38.84,5
205,1/29/16 12:06,11.4,-73.8744812,40.77404022,-73.98448181,40.76222229,41.34,0
206,1/29/16 12:07,0,-73.87107849,40.77417755,-73.87261963,40.77452087,35.3,0
207,1/29/16 12:07,9.36,-73.87348175,40.77393341,-73.96140289,40.75624084,40.61,0
208,1/29/16 12:07,8.9,-73.87312317,40.77411652,-73.98816681,40.72001648,35.75,1
209,1/29/16 12:07,7.62,-73.87293243,40.77415085,-73.94428253,40.77737045,34.01,3
210,1/29/16 12:07,10.4,-73.87454224,40.77401352,-74.00424957,40.7405014,46.34,1
211,1/29/16 12:07,8.86,-73.87480927,40.77407837,-73.98358154,40.75314713,44.21,0
212,1/29/16 12:08,9.7,-73.87294769,40.77406693,-73.9954834,40.73756027,50.79,1
213,1/1/16 0:52,3.64,-73.87317657,40.77416229,-73.89284515,40.74504852,14.8,1
214,1/29/16 12:08,12.9,-73.87303162,40.77413559,-73.92431641,40.679039,37.8,1
215,1/29/16 12:08,8.8,-73.87311554,40.77401733,-73.98246765,40.75535202,45.99,0
216,1/1/16 1:23,10.66,-73.87326813,40.77442169,-73.7710495,40.67671967,36.3,3
217,1/1/16 1:36,12.08,-73.87306976,40.77410507,-73.79003906,40.64693069,40.56,1
218,1/29/16 11:45,11.2,-73.87316132,40.77409744,-73.98046112,40.73774338,49.79,1
219,1/29/16 11:45,8.73,-73.87460327,40.77396011,-73.9835968,40.7374382,39.41,0
220,1/29/16 11:45,14.22,-73.87463379,40.77408981,-74.00437164,40.70984268,50.84,0
221,1/29/16 11:45,8.63,-73.87312317,40.77439117,-73.98258209,40.75431824,40.01,5
222,1/29/16 11:46,14.99,-73.87310028,40.77414322,-74.00959015,40.70622635,60.41,8
223,1/29/16 11:46,11.3,-73.87088776,40.77377701,-73.98092651,40.75455475,54.79,7
224,1/29/16 11:46,7.5,-73.87299347,40.77412415,-73.9539566,40.80477142,38.79,0
225,1/29/16 11:46,11.16,-73.87445831,40.77405167,-73.98478699,40.74629974,50.21,6
226,1/29/16 11:46,9.1,-73.87456512,40.77405167,-73.9822464,40.75543594,45.39,0
227,1/29/16 11:46,9.81,-73.87559509,40.77360535,-73.98021698,40.78233337,37.34,8
228,1/29/16 11:46,8.82,-73.87090302,40.77376556,-73.97342682,40.75777054,43.61,0
229,1/29/16 11:47,11.9,-73.87089539,40.77381897,-74.004776,40.72267532,48.34,0
230,1/29/16 11:47,10.85,-73.87442017,40.7740097,-73.98135376,40.76461029,57.41,8
231,1/29/16 11:47,8.8,-73.87296295,40.77403641,-73.99228668,40.75077438,41.84,0
232,1/29/16 11:47,9.38,-73.87500763,40.77397156,-73.98401642,40.75770187,49.61,9
233,1/29/16 11:47,10.99,-73.87456512,40.77410507,-73.97145844,40.75611877,46.34,0
234,1/29/16 11:48,8.2,-73.87093353,40.77382278,-73.95491028,40.78022766,31.34,0
235,1/29/16 11:48,10.72,-73.87508392,40.77198029,-73.97187805,40.76480865,52.92,0
