RideID,tpep_pickup_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount,DelayFactor
135,2016-01-01 00:22:00,10.5,-73.8746109,40.77406693,-73.77388763,40.67818451,31.8,9
241,2016-02-01 07:42:00,9.77,-73.87100983,40.77362061,-73.98892975,40.72513962,28.3,0
242,2016-02-01 07:42:00,4.8,-73.87284088,40.77413559,-73.84914398,40.72796631,15.3,9
243,2016-02-01 07:42:00,9.32,-73.87088013,40.77360916,-73.98391724,40.75970078,38.34,0
244,2016-02-01 07:50:00,10.6,-73.87081146,40.77362823,-73.9801712,40.76428986,37.34,1
245,2016-02-01 07:55:00,14.26,-73.87097168,40.7736969,-74.00254822,40.71863174,55.01,7
246,2016-02-01 07:58:00,7.8,-73.87452698,40.77406693,-73.95418549,40.78466415,35.19,3
247,2016-02-01 07:59:00,6.9,-73.87093353,40.77365875,-73.94205475,40.71121979,24.3,3
248,2016-02-01 08:01:00,8.8,-73.87110901,40.7736702,-73.98616028,40.75828552,32.34,0
249,2016-02-01 08:02:00,6.9,-73.87086487,40.77378845,-73.9491806,40.80182648,31.84,0
250,2016-02-01 08:02:00,9.5,-73.87442017,40.77399445,-73.98301697,40.69664383,32.15,2
251,2016-02-01 08:03:00,14,-73.87445831,40.77404022,-73.95241547,40.66145325,48.95,0
252,2016-02-01 08:03:00,0,-73.87333679,40.77428818,0,0,5.8,4
253,2016-02-01 08:04:00,9.8,-73.87445831,40.77405167,-73.97797394,40.72935867,34.55,5
254,2016-02-01 08:04:00,0,-73.87291718,40.7739296,-73.87299347,40.77384949,3.3,3
255,2016-02-01 08:05:00,8.2,-73.87295532,40.77388382,-73.95776367,40.73118973,30.35,8
256,2016-02-01 08:05:00,7.32,-73.87297058,40.77384949,-73.80722046,40.69897842,26.76,7
257,2016-02-01 08:05:00,9.25,-73.87452698,40.77412033,-73.96326447,40.77427673,40.01,0
258,2016-02-01 08:05:00,11.3,-73.87478638,40.77412033,-73.99961853,40.68837357,38.15,0
259,2016-02-01 08:06:00,7.1,-73.87309265,40.77396774,-73.95633698,40.71986771,26.15,9
260,2016-02-01 08:07:00,12.3,-73.8744812,40.77409363,-73.96257782,40.65965271,41.8,0
261,2016-02-01 08:08:00,0.6,-73.87269592,40.77416611,-73.95511627,40.74295425,26.73,0
262,2016-02-01 08:09:00,6.7,-73.87334442,40.77410889,-73.94272614,40.71485138,26.6,0
263,2016-02-01 08:09:00,4.1,-73.87245941,40.77402496,-73.91375732,40.74337769,17.76,0
264,2016-02-01 08:09:00,12.67,-73.87325287,40.77387238,-73.9605484,40.65670013,45.96,0
265,2016-02-01 08:09:00,9,-73.87448883,40.77410889,-73.99327087,40.75208282,32.34,7
266,2016-02-01 08:10:00,5.5,-73.87454224,40.77403641,-73.94335175,40.76901627,21.95,2
267,2016-02-01 08:10:00,9.09,-73.87303162,40.7741394,-73.98931885,40.7424202,32.34,0
268,2016-02-01 08:10:00,6.56,-73.87296295,40.77399445,-73.93564606,40.8120079,31.61,1
269,2016-02-01 08:10:00,3.4,-73.87451172,40.77404404,-73.91436005,40.76358414,12.3,0
270,2016-02-01 08:11:00,10.91,-73.87286377,40.77381897,-73.98323059,40.76459885,38.34,0
271,2016-02-01 08:11:00,8.15,-73.87445068,40.77399826,-73.95160675,40.77038956,30.34,2
272,2016-02-01 08:11:00,8,-73.87089539,40.77377319,-73.9259491,40.70212936,27.8,0
273,2016-02-01 08:12:00,2.9,-73.87026215,40.77388,-73.91368103,40.75470734,11.8,8
274,2016-02-01 08:12:00,13.4,-73.87448883,40.77405167,-73.99475098,40.6600914,46.62,3
275,2016-02-01 08:12:00,10.1,-73.87096405,40.77370071,-73.93691254,40.85067368,34.84,1
276,2016-02-01 08:13:00,10.63,-73.87345886,40.77391052,-73.97846985,40.7628479,36.84,4
277,2016-02-01 08:16:00,15.51,-73.8711853,40.7738533,-73.97781372,40.66928101,46.3,9
278,2016-02-01 08:17:00,3.19,-73.8707962,40.77363968,-73.91976929,40.77544022,11.3,9
279,2016-02-01 08:18:00,7.4,-73.87533569,40.77143478,-74.00311279,40.70836639,22.3,2
280,2016-02-01 08:20:00,4.9,-73.87093353,40.77370071,-73.92769623,40.74446106,17.3,1
281,2016-02-01 08:21:00,4.45,-73.87075043,40.77362823,-73.91900635,40.74195099,18.36,6
282,2016-02-01 08:21:00,21.7,-73.87374115,40.773983,-74.14929199,40.7305336,128.62,0
283,2016-02-01 08:22:00,12.74,-73.87310028,40.7739563,-74.01651764,40.71009064,36.3,7
284,2016-02-01 08:22:00,6.37,-73.8707428,40.77362823,-73.94210815,40.72254944,19.8,7
285,2016-02-01 08:24:00,6.7,-73.87012482,40.77342606,-73.94720459,40.71718597,20.8,3
286,2016-02-01 08:24:00,6.7,-73.87089539,40.77366257,-73.89826202,40.81422424,26.84,3
287,2016-02-01 08:25:00,7,-73.8708725,40.77374268,-73.89879608,40.81369781,32.84,2
288,2016-02-01 08:25:00,6.96,-73.87454987,40.7740593,-73.95140076,40.72658157,25.56,2
289,2016-02-01 08:25:00,9.23,-73.87081146,40.77364731,-73.92115784,40.70294952,34.56,2
290,2016-02-01 08:25:00,5.8,-73.87081146,40.77390671,-73.81801605,40.72777176,18.8,8
291,2016-02-01 08:26:00,15.77,-73.87077332,40.77359772,-73.85764313,40.92092896,49.34,0
292,2016-02-01 08:26:00,10.2,-73.87123108,40.77388382,-73.9504776,40.67615509,36.95,9
293,2016-02-01 08:27:00,10.4,-73.8710022,40.77370071,-73.97849274,40.76308441,35.84,0
294,2016-02-01 08:27:00,25.6,-73.87093353,40.77373886,-74.07875824,40.64289093,89.88,9
295,2016-02-01 08:27:00,9.6,-73.87086487,40.77370453,-73.96738434,40.76539993,40.59,3
296,2016-02-01 08:27:00,9.1,-73.87317657,40.77416992,-73.99525452,40.75560379,38.79,1
297,2016-02-01 08:28:00,9.31,-73.87130737,40.77393341,-73.95118713,40.69293594,35.38,3
298,2016-02-01 08:28:00,12.3,-73.87086487,40.77374268,-73.92747498,40.67034912,44.75,0
299,2016-02-01 08:29:00,9.6,-73.87115479,40.77363586,-73.91513062,40.69948959,35.75,8
300,2016-02-01 08:29:00,1.02,-73.8745575,40.77410126,-73.86715698,40.76880646,14.3,5
301,2016-02-01 08:30:00,13.7,-73.87094116,40.77376938,-73.89823151,40.87099075,44.84,4
302,2016-02-01 08:30:00,9.91,-73.87088013,40.77368927,-73.98355103,40.72986984,34.56,9
303,2016-02-01 08:30:00,8.91,-73.87083435,40.77365494,-73.94345856,40.69377899,37.8,0
304,2016-02-01 08:31:00,9.2,-73.87104034,40.77368546,-73.95484161,40.68647766,32.75,0
305,2016-02-01 08:31:00,11.72,-73.87104034,40.77396011,-73.91825867,40.68400192,33.8,6
306,2016-02-01 08:31:00,10.6,-73.87082672,40.77375412,-73.97598267,40.75573349,35.84,1
307,2016-02-01 08:32:00,9.29,-73.87084198,40.77378082,-73.93775177,40.84817886,32.84,0
308,2016-02-01 08:32:00,12.5,-73.87078094,40.77375031,-73.98500061,40.6628418,47.15,8
309,2016-02-01 08:32:00,10.17,-73.87091064,40.77363968,-73.94544983,40.67671967,36.96,5
310,2016-02-01 08:33:00,2.96,-73.87095642,40.77378845,-73.91827393,40.76665878,11.8,3
311,2016-02-01 08:33:00,3.31,-73.87102509,40.77373505,-73.92510986,40.77097702,15.34,7
312,2016-02-01 08:34:00,9,-73.87090302,40.77381897,-73.99172211,40.742836,37.84,0
313,2016-02-01 08:35:00,14.5,-73.87103271,40.77364349,-73.72961426,40.65439987,40.8,0
314,2016-02-01 08:35:00,17.21,-73.87089539,40.77362823,-74.02897644,40.62147141,47.3,0
315,2016-02-01 08:35:00,5.5,-73.87306213,40.77425766,-73.82214355,40.77448654,17.3,2
316,2016-02-01 08:35:00,5.7,-73.87097168,40.77356339,-73.82331848,40.75252151,18.8,2
317,2016-02-01 08:37:00,7.3,-73.87519836,40.77386856,-73.9541626,40.80488586,35.79,5
318,2016-02-01 08:37:00,7.83,-73.87084961,40.77375031,-73.96350098,40.71860886,29.16,0
319,2016-02-01 08:37:00,9.48,-73.8708725,40.77359772,-73.99580383,40.75906754,40.61,0
320,2016-02-01 08:38:00,9.5,-73.87078857,40.77368927,-73.78071594,40.69470215,30.3,0
321,2016-02-01 08:38:00,4.2,-73.87078094,40.77378845,-73.81990051,40.76623535,17.75,0
322,2016-02-01 08:38:00,14.4,-73.87310028,40.77415466,-73.98001099,40.64535141,39.8,6
323,2016-02-01 08:39:00,9.51,-73.87095642,40.77365875,-73.97606659,40.78215027,34.34,0
324,2016-02-01 08:39:00,9.26,-73.87380981,40.77388382,-73.93417358,40.68434525,36.36,8
325,2016-02-01 08:39:00,9.55,-73.87090302,40.77366638,-73.98457336,40.6963501,27.8,3
326,2016-02-01 08:39:00,7.6,-73.87075806,40.77370834,-73.95574951,40.80389023,35.21,3
327,2016-02-01 08:40:00,11.3,-73.87284851,40.7742691,-73.97941589,40.76690292,39.84,1
328,2016-02-01 08:40:00,9.9,-73.87088776,40.77381897,-73.99588013,40.76560974,40.84,0
329,2016-02-01 08:40:00,8.16,-73.87094116,40.77363968,-73.97744751,40.74687958,33.84,6
330,2016-02-01 08:40:00,11,-73.87083435,40.77378464,-73.98579407,40.76005936,38.34,0
331,2016-02-01 08:41:00,11.47,-73.87352753,40.77382278,-73.9074173,40.87779236,37.84,0
332,2016-02-01 08:41:00,9.3,-73.87088776,40.77375031,-73.98078156,40.7766304,37.8,2
333,2016-02-01 08:41:00,7.5,-73.87102509,40.77391052,-73.95539856,40.71043777,27.36,0
334,2016-02-01 08:41:00,5.36,-73.87306213,40.77415848,-73.86961365,40.73080063,17.3,9
335,2016-02-01 08:41:00,10.62,-73.87091064,40.77371597,-73.99389648,40.6977005,36.96,0
336,2016-02-01 08:42:00,8.01,-73.87081909,40.77376938,-73.94715881,40.82575989,37.61,0
337,2016-02-01 08:43:00,9.08,-73.87086487,40.77365112,-73.98844147,40.75700378,38.34,2
338,2016-02-01 08:43:00,14.7,-73.87076569,40.77375412,-73.97691345,40.64307404,40.8,3
339,2016-02-01 08:43:00,9.3,-73.87090302,40.77374649,-73.97291565,40.79855347,34.84,7
340,2016-02-01 08:44:00,3,-73.87090302,40.77375031,-73.92192841,40.76905441,11.3,0
341,2016-02-01 08:44:00,9.2,-73.87073517,40.77350235,-73.9453125,40.82832336,39.4,0
342,2016-02-01 08:44:00,9.28,-73.87078094,40.77369308,-73.98594666,40.75973511,33.34,2
343,2016-02-01 08:44:00,8.42,-73.87097168,40.77376175,-73.94974518,40.77019119,30.84,6
344,2016-02-01 08:45:00,7.52,-73.87062836,40.77365875,-73.94064331,40.78673172,37.3,4
345,2016-02-01 08:45:00,22.41,-73.87110138,40.77377319,-73.98233795,40.59137726,60.3,0
346,2016-02-01 08:45:00,18,-73.87083435,40.77373505,-73.77378082,40.59442139,50.3,0
347,2016-02-01 08:46:00,12.3,-73.87075043,40.77375031,-73.99238586,40.75516891,51.05,0
348,2016-02-01 08:46:00,10.24,-73.8707962,40.77364349,-73.97274017,40.75551605,41.81,1
349,2016-02-01 08:47:00,4.7,-73.87084961,40.77374268,-73.9407959,40.7557373,15.8,1
350,2016-02-01 08:47:00,9.04,-73.87083435,40.77369308,-73.98950195,40.71913147,26.8,9
351,2016-02-01 08:47:00,8.9,-73.87303925,40.77410889,-73.98614502,40.75870132,32.84,0
352,2016-02-01 08:48:00,20.79,-73.87084198,40.77375412,-74.00240326,40.6366806,74.76,6
353,2016-02-01 08:48:00,7.2,-73.87068176,40.77374649,-73.94730377,40.81690216,33.39,7
354,2016-02-01 08:49:00,7,-73.87082672,40.77374649,-73.94197083,40.81545639,30.34,2
355,2016-02-01 08:49:00,11,-73.8709259,40.77368927,-73.98092651,40.67581177,35.3,0
356,2016-02-01 08:49:00,9.6,-73.87103271,40.7739296,-73.97651672,40.72875595,39.84,0
357,2016-02-01 08:49:00,3.03,-73.87097168,40.77366638,-73.90059662,40.74927521,11.8,0
358,2016-02-01 08:49:00,6.8,-73.87295532,40.77401352,-73.93827057,40.81560516,32.19,0
359,2016-02-01 08:50:00,12.88,-73.87120819,40.77396011,-73.95336151,40.64125061,45.96,0
360,2016-02-01 08:51:00,10.6,-73.87294769,40.77416229,-73.97649384,40.75336075,42.4,5
361,2016-02-01 08:51:00,9.68,-73.87088776,40.77373886,-73.98249817,40.76227188,42.41,6
362,2016-02-01 08:51:00,8.72,-73.87122345,40.77374268,-73.82253265,40.82704544,31.34,4
363,2016-02-01 08:51:00,13.34,-73.87075806,40.77368164,-74.00084686,40.73334122,53.81,0
364,2016-02-01 08:51:00,18.1,-73.87081909,40.77378845,-73.87281799,40.96018982,54.84,0
365,2016-02-01 08:52:00,4.83,-73.87317657,40.77412033,-73.94013214,40.75782013,16.8,7
366,2016-02-01 08:52:00,0.6,-73.87297821,40.77410126,-73.945755,40.72035217,28.3,5
367,2016-02-01 08:52:00,4.81,-73.87085724,40.77371979,-73.81463623,40.75711823,17.3,5
368,2016-02-01 08:53:00,6.2,-73.8709259,40.77360153,-73.92624664,40.810112,25.34,3
369,2016-02-01 08:54:00,16.2,-73.8708725,40.77384567,-73.85044861,40.82730103,49.34,1
370,2016-02-01 08:55:00,10.2,-73.87098694,40.77388763,-73.96266937,40.67542267,36.95,0
371,2016-02-01 08:55:00,8,-73.87081909,40.77371597,-73.95305634,40.77584076,35.34,0
372,2016-02-01 08:56:00,9.24,-73.87081909,40.77371979,-73.98307037,40.72266006,32.16,0
373,2016-02-01 08:56:00,7.9,-73.87089539,40.77377319,-73.96391296,40.76050949,24.8,0
374,2016-02-01 08:56:00,11.19,-73.87077332,40.77355957,-73.98486328,40.76050949,47.92,1
375,2016-02-01 08:56:00,13.04,-73.87635803,40.77293015,-73.88401794,40.85510635,37.3,0
376,2016-02-01 08:56:00,9.94,-73.87104797,40.77386856,-73.97834778,40.77742386,37.56,3
377,2016-02-01 08:57:00,12.51,-73.87132263,40.7739296,-73.97982025,40.72042084,45.34,5
378,2016-02-01 08:57:00,9.28,-73.87091827,40.77378845,-73.99079132,40.71947861,26.8,0
379,2016-02-01 08:57:00,11.79,-73.87099457,40.77360535,-73.99201965,40.76322556,40.84,0
380,2016-02-01 08:57:00,6.41,-73.87085724,40.77375031,-73.84467316,40.71578979,20.3,4
381,2016-02-01 08:58:00,11.9,-73.87069702,40.77370834,-73.91562653,40.6889267,33.8,2
382,2016-02-01 08:58:00,8.5,-73.87297058,40.77419281,-73.98577118,40.76548767,29.3,0
383,2016-02-01 08:59:00,10.44,-73.87301636,40.7722702,-73.93340302,40.68955994,35.55,4
384,2016-02-01 08:59:00,9.2,-73.8707962,40.77376556,-73.97554779,40.7921257,34.84,8
385,2016-02-01 08:59:00,11.48,-73.87091827,40.7736969,-73.99118805,40.76552582,47.81,0
386,2016-02-01 09:00:00,10,-73.87088776,40.77373886,-73.98887634,40.69338989,29.8,6
387,2016-02-01 09:00:00,13.88,-73.8710022,40.77373123,-73.93960571,40.65830612,42.3,6
388,2016-02-01 09:00:00,3.1,-73.87081146,40.77387238,-73.89331818,40.74398041,11.8,3
389,2016-02-01 09:00:00,8.66,-73.87099457,40.77369308,-73.98777008,40.74856949,32.34,6
390,2016-02-01 09:01:00,11.2,-73.87081909,40.7737236,-73.98623657,40.76200104,38.34,9
391,2016-02-01 09:01:00,11.5,-73.87298584,40.77419662,-73.89183807,40.66391754,33.8,0
392,2016-02-01 09:01:00,12.23,-73.87081909,40.77381134,-73.94429016,40.77199173,42.84,2
393,2016-02-01 09:01:00,9.09,-73.87083435,40.77370453,-73.95722198,40.77165604,39.41,0
394,2016-02-01 09:02:00,7.67,-73.87097168,40.77381134,-73.95201111,40.78639221,28.84,6
395,2016-02-01 09:02:00,3.8,-73.87408447,40.77305222,-73.9282074,40.76345444,13.8,6
396,2016-02-01 09:03:00,14.8,-73.87078094,40.77378082,-74.01547241,40.70501709,60.24,5
397,2016-02-01 09:03:00,10.8,-73.87081909,40.77383423,-73.98575592,40.77672958,39.34,9
398,2016-02-01 09:04:00,9.19,-73.87107849,40.77393723,-73.9865799,40.75834656,39.41,0
399,2016-02-01 09:04:00,9.42,-73.87088013,40.77368927,-73.98596191,40.75844955,41.81,2
400,2016-02-01 09:04:00,2.3,-73.87083435,40.77375412,-73.87583923,40.74719238,11.8,6
